symbol,date,price
主题4,Jan 2000,39.81
主题4,Feb 2000,36.35
主题4,Mar 2000,43.22
主题4,Apr 2000,28.37
主题4,May 2000,25.45
主题4,Jun 2000,32.54
主题4,Jul 2000,28.4
主题4,Aug 2000,28.4
主题4,Sep 2000,24.53
主题4,Oct 2000,28.02
主题4,Nov 2000,23.34
主题4,Dec 2000,17.65
主题4,Jan 2001,24.84
主题4,Feb 2001,24
主题4,Mar 2001,22.25
主题4,Apr 2001,27.56
主题4,May 2001,28.14
主题4,Jun 2001,29.7
主题4,Jul 2001,26.93
主题4,Aug 2001,23.21
主题4,Sep 2001,20.82
主题4,Oct 2001,23.65
主题4,Nov 2001,26.12
主题4,Dec 2001,26.95
主题4,Jan 2002,25.92
主题4,Feb 2002,23.73
主题4,Mar 2002,24.53
主题4,Apr 2002,21.26
主题4,May 2002,20.71
主题4,Jun 2002,22.25
主题4,Jul 2002,19.52
主题4,Aug 2002,19.97
主题4,Sep 2002,17.79
主题4,Oct 2002,21.75
主题4,Nov 2002,23.46
主题4,Dec 2002,21.03
主题4,Jan 2003,19.31
主题4,Feb 2003,19.34
主题4,Mar 2003,19.76
主题4,Apr 2003,20.87
主题4,May 2003,20.09
主题4,Jun 2003,20.93
主题4,Jul 2003,21.56
主题4,Aug 2003,21.65
主题4,Sep 2003,22.69
主题4,Oct 2003,21.45
主题4,Nov 2003,21.1
主题4,Dec 2003,22.46
主题4,Jan 2004,22.69
主题4,Feb 2004,21.77
主题4,Mar 2004,20.46
主题4,Apr 2004,21.45
主题4,May 2004,21.53
主题4,Jun 2004,23.44
主题4,Jul 2004,23.38
主题4,Aug 2004,22.47
主题4,Sep 2004,22.76
主题4,Oct 2004,23.02
主题4,Nov 2004,24.6
主题4,Dec 2004,24.52
主题4,Jan 2005,24.11
主题4,Feb 2005,23.15
主题4,Mar 2005,22.24
主题4,Apr 2005,23.28
主题4,May 2005,23.82
主题4,Jun 2005,22.93
主题4,Jul 2005,23.64
主题4,Aug 2005,25.35
主题4,Sep 2005,23.83
主题4,Oct 2005,23.8
主题4,Nov 2005,25.71
主题4,Dec 2005,24.29
主题4,Jan 2006,26.14
主题4,Feb 2006,25.04
主题4,Mar 2006,25.36
主题4,Apr 2006,22.5
主题4,May 2006,21.19
主题4,Jun 2006,21.8
主题4,Jul 2006,22.51
主题4,Aug 2006,24.13
主题4,Sep 2006,25.68
主题4,Oct 2006,26.96
主题4,Nov 2006,27.66
主题4,Dec 2006,28.13
主题4,Jan 2007,29.07
主题4,Feb 2007,26.63
主题4,Mar 2007,26.35
主题4,Apr 2007,28.3
主题4,May 2007,29.11
主题4,Jun 2007,27.95
主题4,Jul 2007,27.5
主题4,Aug 2007,27.34
主题4,Sep 2007,28.04
主题4,Oct 2007,35.03
主题4,Nov 2007,32.09
主题4,Dec 2007,34
主题4,Jan 2008,31.13
主题4,Feb 2008,26.07
主题4,Mar 2008,27.21
主题4,Apr 2008,27.34
主题4,May 2008,27.25
主题4,Jun 2008,26.47
主题4,Jul 2008,24.75
主题4,Aug 2008,26.36
主题4,Sep 2008,25.78
主题4,Oct 2008,21.57
主题4,Nov 2008,19.66
主题4,Dec 2008,18.91
主题4,Jan 2009,16.63
主题4,Feb 2009,15.81
主题4,Mar 2009,17.99
主题4,Apr 2009,19.84
主题4,May 2009,20.59
主题4,Jun 2009,23.42
主题4,Jul 2009,23.18
主题4,Aug 2009,24.43
主题4,Sep 2009,25.49
主题4,Oct 2009,27.48
主题4,Nov 2009,29.27
主题4,Dec 2009,30.34
主题4,Jan 2010,28.05
主题4,Feb 2010,28.67
主题4,Mar 2010,28.8
主题2,Jan 2000,64.56
主题2,Feb 2000,68.87
主题2,Mar 2000,67
主题2,Apr 2000,55.19
主题2,May 2000,48.31
主题2,Jun 2000,36.31
主题2,Jul 2000,30.12
主题2,Aug 2000,41.5
主题2,Sep 2000,38.44
主题2,Oct 2000,36.62
主题2,Nov 2000,24.69
主题2,Dec 2000,15.56
主题2,Jan 2001,17.31
主题2,Feb 2001,10.19
主题2,Mar 2001,10.23
主题2,Apr 2001,15.78
主题2,May 2001,16.69
主题2,Jun 2001,14.15
主题2,Jul 2001,12.49
主题2,Aug 2001,8.94
主题2,Sep 2001,5.97
主题2,Oct 2001,6.98
主题2,Nov 2001,11.32
主题2,Dec 2001,10.82
主题2,Jan 2002,14.19
主题2,Feb 2002,14.1
主题2,Mar 2002,14.3
主题2,Apr 2002,16.69
主题2,May 2002,18.23
主题2,Jun 2002,16.25
主题2,Jul 2002,14.45
主题2,Aug 2002,14.94
主题2,Sep 2002,15.93
主题2,Oct 2002,19.36
主题2,Nov 2002,23.35
主题2,Dec 2002,18.89
主题2,Jan 2003,21.85
主题2,Feb 2003,22.01
主题2,Mar 2003,26.03
主题2,Apr 2003,28.69
主题2,May 2003,35.89
主题2,Jun 2003,36.32
主题2,Jul 2003,41.64
主题2,Aug 2003,46.32
主题2,Sep 2003,48.43
主题2,Oct 2003,54.43
主题2,Nov 2003,53.97
主题2,Dec 2003,52.62
主题2,Jan 2004,50.4
主题2,Feb 2004,43.01
主题2,Mar 2004,43.28
主题2,Apr 2004,43.6
主题2,May 2004,48.5
主题2,Jun 2004,54.4
主题2,Jul 2004,38.92
主题2,Aug 2004,38.14
主题2,Sep 2004,40.86
主题2,Oct 2004,34.13
主题2,Nov 2004,39.68
主题2,Dec 2004,44.29
主题2,Jan 2005,43.22
主题2,Feb 2005,35.18
主题2,Mar 2005,34.27
主题2,Apr 2005,32.36
主题2,May 2005,35.51
主题2,Jun 2005,33.09
主题2,Jul 2005,45.15
主题2,Aug 2005,42.7
主题2,Sep 2005,45.3
主题2,Oct 2005,39.86
主题2,Nov 2005,48.46
主题2,Dec 2005,47.15
主题2,Jan 2006,44.82
主题2,Feb 2006,37.44
主题2,Mar 2006,36.53
主题2,Apr 2006,35.21
主题2,May 2006,34.61
主题2,Jun 2006,38.68
主题2,Jul 2006,26.89
主题2,Aug 2006,30.83
主题2,Sep 2006,32.12
主题2,Oct 2006,38.09
主题2,Nov 2006,40.34
主题2,Dec 2006,39.46
主题2,Jan 2007,37.67
主题2,Feb 2007,39.14
主题2,Mar 2007,39.79
主题2,Apr 2007,61.33
主题2,May 2007,69.14
主题2,Jun 2007,68.41
主题2,Jul 2007,78.54
主题2,Aug 2007,79.91
主题2,Sep 2007,93.15
主题2,Oct 2007,89.15
主题2,Nov 2007,90.56
主题2,Dec 2007,92.64
主题2,Jan 2008,77.7
主题2,Feb 2008,64.47
主题2,Mar 2008,71.3
主题2,Apr 2008,78.63
主题2,May 2008,81.62
主题2,Jun 2008,73.33
主题2,Jul 2008,76.34
主题2,Aug 2008,80.81
主题2,Sep 2008,72.76
主题2,Oct 2008,57.24
主题2,Nov 2008,42.7
主题2,Dec 2008,51.28
主题2,Jan 2009,58.82
主题2,Feb 2009,64.79
主题2,Mar 2009,73.44
主题2,Apr 2009,80.52
主题2,May 2009,77.99
主题2,Jun 2009,83.66
主题2,Jul 2009,85.76
主题2,Aug 2009,81.19
主题2,Sep 2009,93.36
主题2,Oct 2009,118.81
主题2,Nov 2009,135.91
主题2,Dec 2009,134.52
主题2,Jan 2010,125.41
主题2,Feb 2010,118.4
主题2,Mar 2010,128.82
主题3,Jan 2000,100.52
主题3,Feb 2000,92.11
主题3,Mar 2000,106.11
主题3,Apr 2000,99.95
主题3,May 2000,96.31
主题3,Jun 2000,98.33
主题3,Jul 2000,100.74
主题3,Aug 2000,118.62
主题3,Sep 2000,101.19
主题3,Oct 2000,88.5
主题3,Nov 2000,84.12
主题3,Dec 2000,76.47
主题3,Jan 2001,100.76
主题3,Feb 2001,89.98
主题3,Mar 2001,86.63
主题3,Apr 2001,103.7
主题3,May 2001,100.82
主题3,Jun 2001,102.35
主题3,Jul 2001,94.87
主题3,Aug 2001,90.25
主题3,Sep 2001,82.82
主题3,Oct 2001,97.58
主题3,Nov 2001,104.5
主题3,Dec 2001,109.36
主题3,Jan 2002,97.54
主题3,Feb 2002,88.82
主题3,Mar 2002,94.15
主题3,Apr 2002,75.82
主题3,May 2002,72.97
主题3,Jun 2002,65.31
主题3,Jul 2002,63.86
主题3,Aug 2002,68.52
主题3,Sep 2002,53.01
主题3,Oct 2002,71.76
主题3,Nov 2002,79.16
主题3,Dec 2002,70.58
主题3,Jan 2003,71.22
主题3,Feb 2003,71.13
主题3,Mar 2003,71.57
主题3,Apr 2003,77.47
主题3,May 2003,80.48
主题3,Jun 2003,75.42
主题3,Jul 2003,74.28
主题3,Aug 2003,75.12
主题3,Sep 2003,80.91
主题3,Oct 2003,81.96
主题3,Nov 2003,83.08
主题3,Dec 2003,85.05
主题3,Jan 2004,91.06
主题3,Feb 2004,88.7
主题3,Mar 2004,84.41
主题3,Apr 2004,81.04
主题3,May 2004,81.59
主题3,Jun 2004,81.19
主题3,Jul 2004,80.19
主题3,Aug 2004,78.17
主题3,Sep 2004,79.13
主题3,Oct 2004,82.84
主题3,Nov 2004,87.15
主题3,Dec 2004,91.16
主题3,Jan 2005,86.39
主题3,Feb 2005,85.78
主题3,Mar 2005,84.66
主题3,Apr 2005,70.77
主题3,May 2005,70.18
主题3,Jun 2005,68.93
主题3,Jul 2005,77.53
主题3,Aug 2005,75.07
主题3,Sep 2005,74.7
主题3,Oct 2005,76.25
主题3,Nov 2005,82.98
主题3,Dec 2005,76.73
主题3,Jan 2006,75.89
主题3,Feb 2006,75.09
主题3,Mar 2006,77.17
主题3,Apr 2006,77.05
主题3,May 2006,75.04
主题3,Jun 2006,72.15
主题3,Jul 2006,72.7
主题3,Aug 2006,76.35
主题3,Sep 2006,77.26
主题3,Oct 2006,87.06
主题3,Nov 2006,86.95
主题3,Dec 2006,91.9
主题3,Jan 2007,93.79
主题3,Feb 2007,88.18
主题3,Mar 2007,89.44
主题3,Apr 2007,96.98
主题3,May 2007,101.54
主题3,Jun 2007,100.25
主题3,Jul 2007,105.4
主题3,Aug 2007,111.54
主题3,Sep 2007,112.6
主题3,Oct 2007,111
主题3,Nov 2007,100.9
主题3,Dec 2007,103.7
主题3,Jan 2008,102.75
主题3,Feb 2008,109.64
主题3,Mar 2008,110.87
主题3,Apr 2008,116.23
主题3,May 2008,125.14
主题3,Jun 2008,114.6
主题3,Jul 2008,123.74
主题3,Aug 2008,118.16
主题3,Sep 2008,113.53
主题3,Oct 2008,90.24
主题3,Nov 2008,79.65
主题3,Dec 2008,82.15
主题3,Jan 2009,89.46
主题3,Feb 2009,90.32
主题3,Mar 2009,95.09
主题3,Apr 2009,101.29
主题3,May 2009,104.85
主题3,Jun 2009,103.01
主题3,Jul 2009,116.34
主题3,Aug 2009,117
主题3,Sep 2009,118.55
主题3,Oct 2009,119.54
主题3,Nov 2009,125.79
主题3,Dec 2009,130.32
主题3,Jan 2010,121.85
主题3,Feb 2010,127.16
主题3,Mar 2010,125.55
主题1,Jan 2000,25.94
主题1,Feb 2000,28.66
主题1,Mar 2000,33.95
主题1,Apr 2000,31.01
主题1,May 2000,21
主题1,Jun 2000,26.19
主题1,Jul 2000,25.41
主题1,Aug 2000,30.47
主题1,Sep 2000,12.88
主题1,Oct 2000,9.78
主题1,Nov 2000,8.25
主题1,Dec 2000,7.44
主题1,Jan 2001,10.81
主题1,Feb 2001,9.12
主题1,Mar 2001,11.03
主题1,Apr 2001,12.74
主题1,May 2001,9.98
主题1,Jun 2001,11.62
主题1,Jul 2001,9.4
主题1,Aug 2001,9.27
主题1,Sep 2001,7.76
主题1,Oct 2001,8.78
主题1,Nov 2001,10.65
主题1,Dec 2001,10.95
主题1,Jan 2002,12.36
主题1,Feb 2002,10.85
主题1,Mar 2002,11.84
主题1,Apr 2002,12.14
主题1,May 2002,11.65
主题1,Jun 2002,8.86
主题1,Jul 2002,7.63
主题1,Aug 2002,7.38
主题1,Sep 2002,7.25
主题1,Oct 2002,8.03
主题1,Nov 2002,7.75
主题1,Dec 2002,7.16
主题1,Jan 2003,7.18
主题1,Feb 2003,7.51
主题1,Mar 2003,7.07
主题1,Apr 2003,7.11
主题1,May 2003,8.98
主题1,Jun 2003,9.53
主题1,Jul 2003,10.54
主题1,Aug 2003,11.31
主题1,Sep 2003,10.36
主题1,Oct 2003,11.44
主题1,Nov 2003,10.45
主题1,Dec 2003,10.69
主题1,Jan 2004,11.28
主题1,Feb 2004,11.96
主题1,Mar 2004,13.52
主题1,Apr 2004,12.89
主题1,May 2004,14.03
主题1,Jun 2004,16.27
主题1,Jul 2004,16.17
主题1,Aug 2004,17.25
主题1,Sep 2004,19.38
主题1,Oct 2004,26.2
主题1,Nov 2004,33.53
主题1,Dec 2004,32.2
主题1,Jan 2005,38.45
主题1,Feb 2005,44.86
主题1,Mar 2005,41.67
主题1,Apr 2005,36.06
主题1,May 2005,39.76
主题1,Jun 2005,36.81
主题1,Jul 2005,42.65
主题1,Aug 2005,46.89
主题1,Sep 2005,53.61
主题1,Oct 2005,57.59
主题1,Nov 2005,67.82
主题1,Dec 2005,71.89
主题1,Jan 2006,75.51
主题1,Feb 2006,68.49
主题1,Mar 2006,62.72
主题1,Apr 2006,70.39
主题1,May 2006,59.77
主题1,Jun 2006,57.27
主题1,Jul 2006,67.96
主题1,Aug 2006,67.85
主题1,Sep 2006,76.98
主题1,Oct 2006,81.08
主题1,Nov 2006,91.66
主题1,Dec 2006,84.84
主题1,Jan 2007,85.73
主题1,Feb 2007,84.61
主题1,Mar 2007,92.91
主题1,Apr 2007,99.8
主题1,May 2007,121.19
主题1,Jun 2007,122.04
主题1,Jul 2007,131.76
主题1,Aug 2007,138.48
主题1,Sep 2007,153.47
主题1,Oct 2007,189.95
主题1,Nov 2007,182.22
主题1,Dec 2007,198.08
主题1,Jan 2008,135.36
主题1,Feb 2008,125.02
主题1,Mar 2008,143.5
主题1,Apr 2008,173.95
主题1,May 2008,188.75
主题1,Jun 2008,167.44
主题1,Jul 2008,158.95
主题1,Aug 2008,169.53
主题1,Sep 2008,113.66
主题1,Oct 2008,107.59
主题1,Nov 2008,92.67
主题1,Dec 2008,85.35
主题1,Jan 2009,90.13
主题1,Feb 2009,89.31
主题1,Mar 2009,105.12
主题1,Apr 2009,125.83
主题1,May 2009,135.81
主题1,Jun 2009,142.43
主题1,Jul 2009,163.39
主题1,Aug 2009,168.21
主题1,Sep 2009,185.35
主题1,Oct 2009,188.5
主题1,Nov 2009,199.91
主题1,Dec 2009,210.73
主题1,Jan 2010,192.06
主题1,Feb 2010,204.62
主题1,Mar 2010,223.02